"Number of months",480
"Number of groups",22
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name",Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton,Phytoplankton,POM,Detritus
"Month 123",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 124",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 125",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 126",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 127",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 128",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 129",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 130",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 131",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 132",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.93666,0.537,0.04342,-999,0.2987,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 133",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 134",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 135",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 136",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 137",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 138",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 139",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 140",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 141",0.3,0.5,0.5,0.5345,0.1297,0.1881,0.2,0.113,0.4228,1.075,0.06112,-999,0.3433,-999,-999,-999,-999,-999,-999,-999,-999,-999
