X,Y,BOOL_ECO,ID
2774.1437988281,3785.3395996094,0,378
2774.1437988281,3784.8395996094,0,379
2774.1437988281,3784.3395996094,0,380
2774.6437988281,3793.8395996094,0,381
2774.6437988281,3793.3395996094,1,382
2774.6437988281,3792.8395996094,1,383
2774.6437988281,3792.3395996094,1,384
2774.6437988281,3791.8395996094,1,385
2774.6437988281,3791.3395996094,1,386
2774.6437988281,3790.8395996094,0,387
2774.6437988281,3790.3395996094,0,388
2774.6437988281,3789.8395996094,0,389
2774.6437988281,3789.3395996094,0,390
2774.6437988281,3788.8395996094,0,391
2774.6437988281,3788.3395996094,0,392
2774.6437988281,3787.8395996094,0,393
2774.6437988281,3787.3395996094,0,394
2774.6437988281,3786.8395996094,0,395
2774.6437988281,3786.3395996094,0,396
2774.6437988281,3785.8395996094,0,397
2774.6437988281,3785.3395996094,0,398
2774.6437988281,3784.8395996094,0,399
2774.6437988281,3784.3395996094,0,400
2775.1437988281,3793.8395996094,0,401
2775.1437988281,3793.3395996094,1,402
2775.1437988281,3792.8395996094,1,403
2775.1437988281,3792.3395996094,1,404
2775.1437988281,3791.8395996094,1,405
2775.1437988281,3791.3395996094,1,406
2775.1437988281,3790.8395996094,0,407
2775.1437988281,3790.3395996094,0,408
2775.1437988281,3789.8395996094,0,409
2775.1437988281,3789.3395996094,0,410
2775.1437988281,3788.8395996094,0,411
2775.1437988281,3788.3395996094,0,412
2775.1437988281,3787.8395996094,0,413
2775.1437988281,3787.3395996094,0,414
2775.1437988281,3786.8395996094,0,415
2775.1437988281,3786.3395996094,0,416
2775.1437988281,3785.8395996094,0,417
2775.1437988281,3785.3395996094,0,418
2775.1437988281,3784.8395996094,0,419
2775.1437988281,3784.3395996094,0,420
2775.6437988281,3793.8395996094,0,421
2775.6437988281,3793.3395996094,0,422
2775.6437988281,3792.8395996094,0,423
2775.6437988281,3792.3395996094,0,424
2775.6437988281,3791.8395996094,0,425
2775.6437988281,3791.3395996094,0,426
2775.6437988281,3790.8395996094,0,427
2775.6437988281,3790.3395996094,0,428
2775.6437988281,3789.8395996094,0,429
2775.6437988281,3789.3395996094,0,430
2775.6437988281,3788.8395996094,0,431
2775.6437988281,3788.3395996094,0,432
2775.6437988281,3787.8395996094,0,433
2775.6437988281,3787.3395996094,0,434
2775.6437988281,3786.8395996094,0,435
2775.6437988281,3786.3395996094,0,436
2775.6437988281,3785.8395996094,0,437
2775.6437988281,3785.3395996094,0,438
2775.6437988281,3784.8395996094,0,439
2775.6437988281,3784.3395996094,0,440
