"Number of months",120
"Number of groups",37
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name","Baleen whales","Toothed whales",Seals,Birds,"Sharks, large","Sharks, small medium","Rays, large","Rays, small medium","Pelagics, large","Pelagics, medium","Pelagics, small, carniv.","Pelagics, small, herbiv.","Benthopelagics, large","Benthopelagics, small medium","Demersals, large","Demersals, medium","Demersals, small","Reeffish, large","Reeffish, medium","Flatfish, large","Flatfish, small medium","Reeffish, small",Bathypelagics,Bathydemersals,Jellyfish,Cephalopods,Shrimps,"Lobsters, crabs",Macrobenthos,Meiobenthos,Corals,"Softcorals, sponges, etc",Krill,"Zooplankton, other",Phytoplankton,"Benthic plants",Detritus
"Month 52",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 53",-999,-999,-999,-999,0.303,0.404,0.3636,0.202,0.37875,1.01,0.0606,0.1212,0.7575,1.515,0.7878,1.212,-999,0.6059999,1.212,0.7575,1.515,-999,-999,-999,-999,0.606,0.303,2.424,0.01515,-999,-999,-999,-999,-999,-999,-999,-999
"Month 54",-999,-999,-999,-999,0.3066,0.4088,0.36792,0.2044,0.38325,1.022,0.06132,0.12264,0.7665,1.533,0.79716,1.2264,-999,0.6131999,1.2264,0.7665,1.533,-999,-999,-999,-999,0.6132,0.3066,2.4528,0.01533,-999,-999,-999,-999,-999,-999,-999,-999
"Month 55",-999,-999,-999,-999,0.3066,0.4088,0.36792,0.2044,0.38325,1.022,0.06132,0.12264,0.7665,1.533,0.79716,1.2264,-999,0.6131999,1.2264,0.7665,1.533,-999,-999,-999,-999,0.6132,0.3066,2.4528,0.01533,-999,-999,-999,-999,-999,-999,-999,-999
"Month 56",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 57",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 58",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 59",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 60",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 61",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 62",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 63",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 64",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
