EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
68,0,0,0,0,0.01763231,0.08408396,0.01839973,0.03414439,0.07005595,0.2369343,0.4873754,0.5545354,0.02777338,0.0260133,0.0840586,0.5039279,0,0.01839678,0.07773411,0.0130073,0.06472488,0,0,0,0,0.3159537,0.6042002,0.08429809,0.1307174,0,0,0,0,0,0,0,0
69,0,0,0,0,0.01757259,0.08455338,0.0182369,0.03372693,0.06954462,0.2330339,0.4905673,0.5616755,0.02695952,0.02467474,0.08225746,0.4996682,0,0.01806475,0.07534958,0.01261425,0.06089285,0,0,0,0,0.3184355,0.604147,0.0806689,0.1306003,0,0,0,0,0,0,0,0
70,0,0,0,0,0.01751745,0.08506412,0.01807946,0.03332223,0.06905623,0.2293427,0.4936228,0.5687433,0.02617514,0.023417,0.08052929,0.4959035,0,0.01774217,0.07306144,0.0122358,0.05729707,0,0,0,0,0.3209481,0.6040666,0.07721335,0.1304811,0,0,0,0,0,0,0,0
71,0,0,0,0,0.01746679,0.08561598,0.01792726,0.03292956,0.06858996,0.2258503,0.4965376,0.5757251,0.02541897,0.02223461,0.078871,0.4926203,0,0.01742873,0.07086507,0.01187132,0.05392225,0,0,0,0,0.3234884,0.6039581,0.07392148,0.1303601,0,0,0,0,0,0,0,0
72,0,0,0,0,0.01742003,0.0862039,0.01777964,0.03254824,0.06814332,0.2225222,0.499308,0.5826307,0.02468931,0.02112176,0.07727901,0.4898067,0,0.01712394,0.06875608,0.01152023,0.05075413,0,0,0,0,0.3260482,0.6038221,0.07078406,0.130238,0,0,0,0,0,0,0,0
73,0,0,0,0,0.01737644,0.08682039,0.01763574,0.03217766,0.06771322,0.2193164,0.5019303,0.589489,0.02398443,0.02007294,0.07574971,0.4874516,0,0.01682728,0.06673034,0.01118197,0.04777945,0,0,0,0,0.3286162,0.6036588,0.06779248,0.1301151,0,0,0,0,0,0,0,0
74,0,0,0,0,0.01733612,0.08746675,0.01749566,0.03181723,0.06729978,0.2162396,0.5043998,0.5962921,0.02330357,0.01908436,0.07428074,0.4855447,0,0.01653857,0.06478389,0.01085599,0.04498583,0,0,0,0,0.3311892,0.6034691,0.06493869,0.129992,0,0,0,0,0,0,0,0
75,0,0,0,0,0.01729907,0.08814354,0.01735938,0.03146643,0.06690271,0.2132911,0.5067143,0.6030346,0.02264585,0.01815227,0.07286967,0.4840772,0,0.01625756,0.06291301,0.01054179,0.04236174,0,0,0,0,0.3337647,0.6032541,0.06221521,0.1298691,0,0,0,0,0,0,0,0
76,0,0,0,0,0.01726525,0.08885074,0.01722684,0.03112478,0.06652138,0.2104655,0.5088768,0.6097124,0.02201033,0.01727305,0.07151408,0.483041,0,0.01598402,0.06111416,0.01023887,0.03989641,0,0,0,0,0.3363401,0.6030155,0.05961506,0.129747,0,0,0,0,0,0,0,0
77,0,0,0,0,0.0172341,0.08958287,0.01709795,0.03079182,0.06615007,0.2077161,0.5110212,0.6163226,0.02139478,0.01644211,0.07021112,0.4824294,0,0.01571753,0.05938402,0.00994676,0.03757984,0,0,0,0,0.3389089,0.6027545,0.05713181,0.1296262,0,0,0,0,0,0,0,0
78,0,0,0,0,0.01720571,0.09034103,0.01697261,0.03046715,0.06578999,0.2050537,0.5131442,0.6228588,0.02079897,0.01565692,0.06895875,0.4822362,0,0.01545792,0.05771943,0.009665018,0.03540266,0,0,0,0,0.3414702,0.6024724,0.05475941,0.1295073,0,0,0,0,0,0,0,0
79,0,0,0,0,0.01718008,0.09112579,0.01685071,0.03015039,0.0654416,0.2024813,0.5152437,0.6293169,0.02022238,0.01491482,0.06775497,0.4824561,0,0.01520499,0.05611739,0.009393212,0.03335612,0,0,0,0,0.3440221,0.6021696,0.05249212,0.1293906,0,0,0,0,0,0,0,0
80,0,0,0,0,0.0171572,0.09193739,0.01673216,0.0298412,0.06510493,0.1999982,0.5173184,0.6356946,0.0196644,0.01421324,0.0665978,0.4830848,0,0.01495853,0.05457503,0.00913093,0.03143202,0,0,0,0,0.3465631,0.6018466,0.05032455,0.1292765,0,0,0,0,0,0,0,0
81,0,0,0,0,0.01713702,0.09277596,0.01661685,0.02953924,0.06477985,0.1976022,0.5193668,0.6419899,0.01912437,0.01354973,0.06548534,0.4841189,0,0.01471835,0.05308964,0.008877779,0.02962271,0,0,0,0,0.3490913,0.6015039,0.04825162,0.1291651,0,0,0,0,0,0,0,0
82,0,0,0,0,0.0171195,0.09364148,0.01650467,0.02924423,0.06446613,0.1952907,0.5213881,0.6482017,0.01860163,0.01292198,0.06441575,0.4855556,0,0.01448423,0.05165865,0.008633385,0.02792107,0,0,0,0,0.351605,0.6011426,0.04626858,0.1290563,0,0,0,0,0,0,0,0
83,0,0,0,0,0.01710458,0.09453394,0.01639554,0.02895589,0.0641635,0.1930607,0.5233812,0.6543287,0.01809555,0.01232782,0.06338727,0.4873928,0,0.01425597,0.0502796,0.008397389,0.0263204,0,0,0,0,0.3541027,0.6007636,0.04437098,0.1289501,0,0,0,0,0,0,0,0
84,0,0,0,0,0.0168005,0.09383799,0.01601279,0.02818034,0.06278862,0.1878485,0.5161908,0.6489192,0.01731674,0.01158528,0.06137739,0.4819211,0,0.01380009,0.04817966,0.008035445,0.02443492,0,0,0,0,0.3506463,0.5901047,0.0419598,0.1265929,0,0,0,0,0,0,0,0
85,0,0,0,0,0.01679836,0.0948243,0.01591981,0.02791768,0.06254731,0.1860866,0.5181309,0.6548747,0.01686896,0.0110855,0.06051239,0.485382,0,0.01359882,0.04700218,0.007827661,0.02309154,0,0,0,0,0.3533596,0.5899186,0.04038882,0.1264953,0,0,0,0,0,0,0,0
