EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:42:53"
ModelName,"Tampa Bay"
EcosimScenario,"TampaBay Flabay Nut better fix seagrass"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
31,0.0001070128,0.008478436,0.09402096,0.04589909,0.009479389,0.0001194339,0.002291404,0.01106575,0.0381002,0.1479189,4.60124E-05,0.01150526,0.08153591,9.386781E-06,0.001059344,0.03964867,0.04030545,0.2682794,1.392032,6.164797E-07,0.007209245,0.005984005,0.04543097,0.0133382,0.1619315,0.1065003,0.3120628,0.03517257,0.02953924,0.07762408,0.01326752,0.03784448,0.0501099,0.02790318,0.01330697,0.7232863,0.03953356,0.03850309,0.05713476,0.5702683,0.03203173,0.03789616,0.003211602,1.480703,3.394358,0.551516,0.2369864,4.725901,21.06123,10.5507,17.46185,5.339773
32,0.0001142469,0.008642521,0.09559767,0.04675095,0.009506945,0.0001275253,0.002369403,0.01186353,0.0370211,0.1488283,4.944685E-05,0.01178044,0.08264823,1.034541E-05,0.001081738,0.04044737,0.04131029,0.281971,1.423259,6.464219E-07,0.007218079,0.006489228,0.04851623,0.01322091,0.1667314,0.1056056,0.3175104,0.03631452,0.03061638,0.08014546,0.01370228,0.03895061,0.05245579,0.02787975,0.01367812,0.7418388,0.04040484,0.03939544,0.05857136,0.5769098,0.03237193,0.03810027,0.003258254,1.428207,3.474322,0.5825928,0.2676469,4.885854,22.36588,12.5532,18.63838,5.55104
33,0.0001338689,0.009028838,0.09751729,0.04780946,0.009564891,0.0001481676,0.002527277,0.01286818,0.03554785,0.1505666,5.634894E-05,0.01197936,0.08429131,1.228057E-05,0.001135618,0.04137514,0.04463787,0.305694,1.47517,7.15652E-07,0.007246243,0.007056168,0.05198785,0.01313234,0.1738316,0.1052329,0.32493,0.03771563,0.03196153,0.0830097,0.01429441,0.04055489,0.05555686,0.02791204,0.0141866,0.7689605,0.04198777,0.04053655,0.06036457,0.5900585,0.03300144,0.03842017,0.003322648,1.378744,3.650085,0.670158,0.3339404,5.178956,25.47972,17.33299,21.54834,6.119819
34,0.0001641049,0.009668231,0.1000043,0.04913586,0.009664571,0.0001795693,0.002789231,0.01407093,0.03368967,0.1534346,6.625731E-05,0.01223442,0.08662548,1.510954E-05,0.001228487,0.04252836,0.05029071,0.3400908,1.543929,8.1156E-07,0.007305293,0.007769278,0.05604492,0.01307453,0.1856665,0.1055822,0.3356323,0.03965937,0.03390978,0.08678471,0.01521447,0.04306543,0.06029208,0.0280287,0.01496282,0.8085268,0.0448213,0.04219623,0.06295528,0.6114489,0.03404814,0.03888206,0.003417138,1.332743,3.937819,0.8014528,0.4327608,5.625012,27.98256,24.65975,23.99187,6.820042
35,0.0001990841,0.0104981,0.1031169,0.05077863,0.009817919,0.0002167993,0.00312981,0.01539948,0.03138131,0.15782,7.775133E-05,0.01263492,0.08975419,1.836064E-05,0.001362496,0.04399675,0.0574766,0.3824283,1.620882,9.144064E-07,0.007406224,0.008557709,0.06071756,0.01305673,0.2022317,0.1066613,0.3497239,0.04225651,0.03656864,0.09174056,0.0165034,0.04655993,0.06680279,0.02826014,0.01603771,0.8576162,0.04865236,0.04437019,0.06638288,0.6415667,0.03557262,0.03951447,0.003551401,1.290535,4.288273,0.9320473,0.5417755,6.189878,29.4221,34.30835,25.44746,7.457172
36,0.0002336253,0.01143519,0.1067732,0.05276967,0.01002923,0.0002590725,0.003502225,0.01673725,0.02910113,0.1634697,8.941384E-05,0.01320845,0.09365994,2.158111E-05,0.001532946,0.04582017,0.06575097,0.4281543,1.699774,1.010618E-06,0.007553466,0.009317256,0.06588999,0.01308566,0.2218015,0.1084019,0.3665304,0.04541842,0.0397997,0.09776698,0.0180728,0.05083013,0.07457609,0.02862378,0.01734655,0.9115505,0.0529324,0.0469178,0.07044429,0.6792305,0.03755073,0.04033106,0.003728667,1.252262,4.648347,1.035157,0.6397369,6.833982,30.11922,46.04878,26.16396,7.967803
37,0.0002620438,0.01242453,0.110796,0.055121,0.01029623,0.00031078,0.003857729,0.01801679,0.02875265,0.1685008,0.0001000729,0.0139421,0.09824862,2.444125E-05,0.001730585,0.04798317,0.07462266,0.4725421,1.776782,1.092587E-06,0.007744226,0.009973034,0.07134559,0.0131637,0.2423262,0.1107209,0.3851231,0.04896387,0.04336167,0.1045478,0.01978895,0.05555882,0.08289483,0.02912179,0.01878878,0.9663209,0.05717881,0.04967692,0.07487203,0.7219986,0.03988225,0.04132384,0.003947475,1.217912,4.982225,1.105496,0.7155728,7.523693,30.35409,59.30126,26.39907,8.353761
38,0.0002766914,0.0134401,0.1149357,0.05782365,0.01061236,0.0003312595,0.00419249,0.01925568,0.03162262,0.1713771,0.0001081508,0.01480535,0.1034019,2.653198E-05,0.0019436,0.05042563,0.08194201,0.5115573,1.848279,1.156803E-06,0.007969989,0.01047761,0.07678546,0.01328945,0.262056,0.1135178,0.4045247,0.05269431,0.04700621,0.1117,0.02152352,0.06041979,0.09109125,0.02974401,0.02026398,1.018587,0.06104007,0.05249321,0.07939828,0.7664222,0.04239582,0.04246277,0.004203926,1.18735,5.265195,1.143134,0.7637563,8.221387,30.1334,72.48792,26.17228,8.607668
39,0.0002753269,0.01448534,0.1189241,0.06085363,0.01096801,0.0003299972,0.004483959,0.02047392,0.03624529,0.1731821,0.0001129835,0.01576704,0.1089945,2.760686E-05,0.00216073,0.05306194,0.08386266,0.5432038,1.912127,1.21923E-06,0.008219185,0.01082072,0.08186713,0.0134586,0.2796218,0.1166794,0.4238074,0.05641928,0.05050895,0.1188329,0.02316708,0.06511921,0.09860971,0.03047082,0.02168363,1.065676,0.06426401,0.0552192,0.08376614,0.809009,0.04489918,0.04370471,0.004493118,1.161042,5.483237,1.153166,0.785887,8.89522,29.64276,84.40345,25.66601,8.744486
40,0.0002612728,0.01557618,0.1225021,0.06417572,0.01135003,0.0003196052,0.004712054,0.02161001,0.04134076,0.1749071,0.0001145534,0.01679871,0.1148548,2.76315E-05,0.002371653,0.05579336,0.0778295,0.5645391,1.967714,1.280334E-06,0.008478853,0.01101292,0.08621246,0.01366515,0.2941809,0.1200894,0.4422075,0.05998416,0.05370072,0.1256072,0.02464243,0.06943721,0.105078,0.03127675,0.02298261,1.1058,0.06672395,0.05773547,0.08776686,0.846365,0.04719961,0.04500503,0.004810509,1.139845,5.631996,1.141909,0.7861577,9.521085,28.96695,94.0132,24.97081,8.778077
