EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
43,0.001000807,0.001960906,0.002913562,0.001040849,0.06749502,0.2085316,0.06623048,0.2415258,0.2393677,0.4240065,6.205225,3.123883,0.07984579,0.07164659,0.2017999,0.6606576,10.22842,0.04943647,0.148898,0.03823088,0.1974811,1.5676,0.4983376,0.2003183,0.9757067,0.4381995,2.043039,0.1089118,9.040188,15.07594,0.1329561,2.027251,0.9579813,9.81489,15.09772,2.006239,100.306
44,0.001000923,0.001959988,0.002918029,0.001044898,0.06686205,0.2073617,0.0653966,0.2383276,0.2360745,0.4115722,6.27687,3.169213,0.07733437,0.06756606,0.1962171,0.6439516,10.5076,0.04839138,0.1436148,0.03700486,0.1860951,1.591354,0.4977227,0.2000006,0.9729276,0.4401608,2.028773,0.1040726,8.949841,15.11094,0.1342004,2.028399,0.9519243,9.796204,15.10809,2.007508,100.35
45,0.001001047,0.001959201,0.002922959,0.001049117,0.06625723,0.2062734,0.0645791,0.2350109,0.2329045,0.3998125,6.349322,3.215924,0.07491429,0.06373882,0.1908277,0.6280198,10.7877,0.04738382,0.1386047,0.03582093,0.1753805,1.614029,0.497038,0.199645,0.9700955,0.4423335,2.016939,0.09952907,8.873672,15.14602,0.1353985,2.029523,0.9456849,9.777354,15.11861,2.008756,100.3937
46,0.001001181,0.001958554,0.002928334,0.001053509,0.06568075,0.205276,0.0637799,0.2316018,0.2298567,0.3886848,6.422358,3.263932,0.07258392,0.06015311,0.1856405,0.612928,11.06842,0.04641299,0.1338546,0.03467986,0.1653068,1.635466,0.4962832,0.199255,0.967232,0.4446995,2.00715,0.09525584,8.810082,15.17836,0.1365459,2.03062,0.9392973,9.758591,15.12926,2.009952,100.4373
47,0.001001324,0.001958054,0.00293414,0.001058075,0.06509275,0.2042114,0.06295433,0.2280362,0.2267563,0.3773867,6.495065,3.312405,0.0702339,0.05662258,0.1803699,0.5972324,11.35003,0.0454224,0.129036,0.0335301,0.1553681,1.655557,0.4954593,0.1988345,0.9643768,0.4467166,1.997972,0.09079296,8.757295,15.20653,0.1376406,2.031691,0.9328213,9.740367,15.13993,2.011077,100.4807
48,0.001001479,0.001957707,0.00294037,0.001062818,0.06453301,0.2032528,0.06215043,0.2244381,0.2237773,0.3666932,6.56812,3.362109,0.06797496,0.05332503,0.175313,0.5824429,11.63297,0.04446817,0.12447,0.03242489,0.1460593,1.674216,0.4945684,0.1983876,0.9615831,0.4489269,1.990437,0.08660609,8.714074,15.22999,0.1386817,2.032735,0.9263207,9.723087,15.15046,2.012114,100.5239
49,0.001001645,0.001957517,0.002947017,0.001067739,0.06400082,0.2024042,0.06136871,0.2208351,0.2209162,0.3565685,6.641374,3.412978,0.06580353,0.05024447,0.1704623,0.5685238,11.91741,0.04354848,0.1201392,0.03136269,0.13734,1.691352,0.4936137,0.1979187,0.9589069,0.4513177,1.98429,0.08266972,8.678904,15.2488,0.1396674,2.033753,0.9198512,9.707074,15.16064,2.013056,100.5665
50,0.001001824,0.001957488,0.002954079,0.001072842,0.06349535,0.201668,0.06060941,0.2172525,0.2181692,0.3469797,6.714688,3.464949,0.06371604,0.0473658,0.1658101,0.5554365,12.20355,0.04266154,0.1160271,0.03034184,0.1291721,1.706894,0.4925995,0.1974317,0.9563998,0.4538789,1.979303,0.07896269,8.650389,15.26344,0.1405969,2.034746,0.9134676,9.692514,15.1703,2.013897,100.6078
51,0.001002017,0.001957624,0.002961551,0.001078128,0.06299624,0.2009638,0.05985046,0.2136686,0.2154496,0.3375502,6.787549,3.517546,0.06166151,0.04460608,0.1612192,0.5424752,12.49167,0.04177983,0.1119805,0.02933805,0.1213327,1.720806,0.4915306,0.1969306,0.9541003,0.4563282,1.974717,0.07528292,8.627191,15.27458,0.1414706,2.035718,0.9072248,9.679472,15.17932,2.014641,100.6474
52,0.001002224,0.001957927,0.00296943,0.001083599,0.06252227,0.2003757,0.05911445,0.2101478,0.2128388,0.3286175,6.860272,3.571147,0.05968717,0.04202887,0.156818,0.5303038,12.78201,0.04092848,0.108133,0.0283738,0.1139977,1.733073,0.4904126,0.1964188,0.9520305,0.4589436,1.971009,0.07181848,8.608389,15.28291,0.1422894,2.036669,0.901167,9.667882,15.18761,2.015289,100.6846
53,0.001002448,0.001958398,0.002977713,0.001089257,0.06207245,0.199904,0.05840111,0.2067053,0.210333,0.3201538,6.932729,3.62568,0.05778957,0.03962115,0.1525986,0.5188845,13.07462,0.04010577,0.1044704,0.02744741,0.1071327,1.743691,0.4892511,0.1958996,0.9501942,0.4617155,1.968021,0.06855219,8.593043,15.28899,0.1430539,2.037603,0.8953229,9.657619,15.19514,2.015849,100.7192
54,0.001002688,0.001959038,0.002986398,0.001095103,0.06162728,0.1994687,0.05768932,0.2033119,0.2078506,0.3118216,7.004405,3.680654,0.05592348,0.03731485,0.1484375,0.5075739,13.36964,0.03928647,0.1008585,0.02653735,0.100555,1.752704,0.4880519,0.1953757,0.948581,0.464364,1.965078,0.06531366,8.58027,15.29336,0.143766,2.03852,0.8897172,9.648533,15.20192,2.016329,100.7509
55,0.001002947,0.001959846,0.00299548,0.001101139,0.06120006,0.1991495,0.05699996,0.2000179,0.2054681,0.3039249,7.07563,3.736445,0.05413041,0.03516126,0.1444493,0.4969752,13.66718,0.03848579,0.09738021,0.02566329,0.09440436,1.762066,0.4868219,0.1948496,0.9471928,0.4671651,1.962962,0.06226192,8.569577,15.29658,0.144428,2.039424,0.8846014,9.640905,15.20786,2.016737,100.7797
56,0.001003226,0.001960824,0.003004958,0.001107367,0.0607823,0.1989054,0.0563224,0.1968089,0.2031438,0.2962919,7.146083,3.792756,0.05238758,0.0331246,0.1405719,0.4867637,13.96721,0.0376949,0.09398708,0.02481438,0.08858491,1.771706,0.4855674,0.1943232,0.9460044,0.4699731,1.96124,0.05931209,8.560378,15.29893,0.1450406,2.040315,0.8799039,9.634247,15.21305,2.017083,100.8053
57,0.001003525,0.001961969,0.003014828,0.001113787,0.06038344,0.1987751,0.05566651,0.1937079,0.2009134,0.289056,7.215865,3.849736,0.05071288,0.03122243,0.1368558,0.4772127,14.2697,0.0369264,0.09073904,0.02399904,0.08314384,1.781579,0.4842947,0.1937981,0.94498,0.4729219,1.960078,0.05652979,8.552311,15.30056,0.1456058,2.041195,0.8755542,9.628235,15.2176,2.017376,100.8277
58,0.001003847,0.001963281,0.003025089,0.001120401,0.06000341,0.198757,0.05503173,0.1907153,0.1987738,0.2821959,7.284842,3.907302,0.04910332,0.02944511,0.1332942,0.4682924,14.5745,0.03618027,0.08763172,0.0232158,0.07805488,1.791652,0.4830093,0.1932757,0.9440806,0.4760016,1.959349,0.05390265,8.545022,15.30156,0.1461259,2.042064,0.8714861,9.622667,15.22165,2.017625,100.8474
59,0.001004191,0.001964759,0.003035738,0.001127211,0.05964202,0.19885,0.05441748,0.1878297,0.1967216,0.2756919,7.352883,3.965367,0.04755605,0.0277837,0.1298802,0.4599747,14.88148,0.03545611,0.0846594,0.02246327,0.07329373,1.801894,0.4817159,0.1927571,0.9432704,0.479203,1.958945,0.05141965,8.53823,15.30199,0.1466036,2.042923,0.8676424,9.617426,15.22531,2.017836,100.8649
60,0.001004559,0.001966402,0.003046773,0.001134218,0.05929897,0.1990526,0.05382317,0.1850488,0.194754,0.2695255,7.419852,4.023843,0.04606835,0.02622996,0.1266075,0.4522339,15.19044,0.03475337,0.08181591,0.02174011,0.06883788,1.812281,0.4804186,0.192243,0.9425204,0.4825176,1.958774,0.04907084,8.531715,15.30194,0.1470413,2.043771,0.8639761,9.612436,15.22866,2.018017,100.8805
61,0.001004952,0.001968207,0.003058193,0.001141423,0.05897394,0.1993636,0.05324822,0.1823689,0.192868,0.2636796,7.485618,4.082642,0.04463762,0.02477626,0.12347,0.4450455,15.50121,0.03407143,0.07909509,0.02104505,0.0646665,1.822788,0.4791209,0.191734,0.94181,0.4859376,1.958758,0.04684715,8.525312,15.3015,0.147442,2.044609,0.8604506,9.607651,15.23178,2.018173,100.8948
62,0.001005371,0.001970172,0.003069995,0.001148828,0.05866659,0.1997818,0.05269206,0.1797861,0.1910608,0.2581379,7.550047,4.141671,0.04326137,0.02341554,0.1204618,0.4383873,15.81358,0.03340964,0.07649095,0.02037687,0.06076028,1.833391,0.4778256,0.1912305,0.9411256,0.4894553,1.958837,0.0447403,8.518898,15.30077,0.1478081,2.045437,0.8570384,9.603045,15.23471,2.01831,100.908
63,0.001005815,0.001972296,0.003082178,0.001156434,0.05837655,0.200306,0.05215409,0.177296,0.1893298,0.2528851,7.613012,4.200837,0.04193724,0.02214126,0.1175774,0.4322383,16.12734,0.03276733,0.07399774,0.01973441,0.05710133,1.844069,0.4765351,0.1907327,0.9404598,0.4930639,1.958961,0.0427427,8.512386,15.29987,0.1481425,2.046255,0.8537197,9.598595,15.23749,2.018433,100.9203
